Code,Name,Market,Marcap
005930,삼성전자,KOSPI,1280335015152000
000660,SK하이닉스,KOSPI,872347694760000
005935,삼성전자우,KOSPI,120676628931200
373220,LG에너지솔루션,KOSPI,111852000000000
005380,현대차,KOSPI,111797740236000
402340,SK스퀘어,KOSPI,94746121148000
034020,두산에너빌리티,KOSPI,74112924592200
207940,삼성바이오로직스,KOSPI,73510030188000
012450,한화에어로스페이스,KOSPI,71724690791000
000270,기아,KOSPI,62466079680000
329180,HD현대중공업,KOSPI,60457665600000
105560,KB금융,KOSPI,59805212982000
009150,삼성전기,KOSPI,57663533312000
006400,삼성SDI,KOSPI,51977666850000
032830,삼성생명,KOSPI,51200000000000
028260,삼성물산,KOSPI,49299370224000
055550,신한지주,KOSPI,47370505227800
068270,셀트리온,KOSPI,45053466983000
012330,현대모비스,KOSPI,40557464601000
042660,한화오션,KOSPI,40201437292800
006800,미래에셋증권,KOSPI,38205768870400
267260,HD현대일렉트릭,KOSPI,38137868830000
010130,고려아연,KOSPI,34857858230000
086790,하나금융지주,KOSPI,34234075122000
035420,NAVER,KOSPI,33566464532000
005490,POSCO홀딩스,KOSPI,33400303630500
009540,HD한국조선해양,KOSPI,30255507090000
015760,한국전력,KOSPI,29530347542000
042700,한미반도체,KOSPI,28117099000000
034730,SK,KOSPI,28022294709500
298040,효성중공업,KOSPI,27992293096000
010120,LS ELECTRIC,KOSPI,27705000000000
051910,LG화학,KOSPI,27495717598500
010140,삼성중공업,KOSPI,26576000000000
316140,우리금융지주,KOSPI,26279932256000
272210,한화시스템,KOSPI,24824007714600
064350,현대로템,KOSPI,24175017899500
000150,두산,KOSPI,22817113515000
003670,포스코퓨처엠,KOSPI,22814705430000
096770,SK이노베이션,KOSPI,22568547198000
086520,에코프로,KOSDAQ GLOBAL,22226556082400
035720,카카오,KOSPI,21684898705250
017670,SK텔레콤,KOSPI,21586400326500
247540,에코프로비엠,KOSDAQ GLOBAL,21571610697000
000810,삼성화재,KOSPI,20895017364000
066570,LG전자,KOSPI,20621416594200
267250,HD현대,KOSPI,20301222845000
079550,LIG디펜스앤에어로스페이스,KOSPI,19998000000000
011200,HMM,KOSPI,19902321167000
033780,KT&G,KOSPI,19839059585000
196170,알테오젠,KOSDAQ GLOBAL,19753988067000
138040,메리츠금융지주,KOSPI,19739348686400
000720,현대건설,KOSPI,19476123298500
024110,기업은행,KOSPI,17981953345950
047810,한국항공우주,KOSPI,17789207027500
